raw_sector,source,mapped_sector,sector_code
rexsealing,mc,,
rgfcapitalmar,mc,,
rhetantmt,mc,,
richfieldfin,mc,,
richuniverse,mc,,
ridhisyntre,mc,,
rites,mc,,
rjbiotech,mc,,
rmdripspri,mc,,
rnitaisolu,mc,,
roadstarinfra,mc,,
robusthotels,mc,,
rockingdeals,mc,,
rodiumrealty,mc,,
rojewels,mc,,
rolconengg,mc,,
ronihouseholds,mc,,
royalarcelect,mc,,
rril,mc,,
rrpsemiconduct,mc,,
rudraeco,mc,,
rudragas,mc,,
rudraglobal,mc,,
rulkaelec,mc,,
rushildecor,mc,,
rushildecorpp,mc,,
rushilpp1,mc,,
rushire1,mc,,
safariind,mc,,
saffronind,mc,,
sahajfashions,mc,,
sahajsolar,mc,,
